#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
3.8000000000e+03     8.2709948828e-07    1.8035838892e-07    6.4674109936e-07
3.8125000000e+03     8.2174599622e-07    1.7487368703e-07    6.4687230919e-07
3.8250000000e+03     8.1848218762e-07    1.6972025813e-07    6.4876192949e-07
3.8375000000e+03     8.1739120043e-07    1.6496498469e-07    6.5242621574e-07
3.8500000000e+03     8.1841025832e-07    1.6066980679e-07    6.5774045153e-07
3.8625000000e+03     8.2136629467e-07    1.5689081316e-07    6.6447548151e-07
3.8750000000e+03     8.2601677074e-07    1.5367740449e-07    6.7233936625e-07
3.8875000000e+03     8.3208971922e-07    1.5107153255e-07    6.8101818668e-07
3.9000000000e+03     8.3931815954e-07    1.4910701915e-07    6.9021114040e-07
3.9125000000e+03     8.4746551495e-07    1.4780896153e-07    6.9965655341e-07
3.9250000000e+03     8.5634022216e-07    1.4719323321e-07    7.0914698895e-07
3.9375000000e+03     8.6579916093e-07    1.4726609246e-07    7.1853306848e-07
3.9500000000e+03     8.7574074041e-07    1.4802391292e-07    7.2771682749e-07
3.9625000000e+03     8.8608944729e-07    1.4945305202e-07    7.3663639527e-07
3.9750000000e+03     8.9677441474e-07    1.5152987268e-07    7.4524454206e-07
3.9875000000e+03     9.0770513988e-07    1.5422093155e-07    7.5348420833e-07
4.0000000000e+03     9.1874785656e-07    1.5748334321e-07    7.6126451335e-07
4.0125000000e+03     9.2970621195e-07    1.6126532423e-07    7.6844088772e-07
4.0250000000e+03     9.4030972485e-07    1.6550691440e-07    7.7480281044e-07
4.0375000000e+03     9.5021294405e-07    1.7014086566e-07    7.8007207839e-07
4.0500000000e+03     9.5900723657e-07    1.7509368238e-07    7.8391355419e-07
4.0625000000e+03     9.6624574008e-07    1.8028679133e-07    7.8595894875e-07
4.0750000000e+03     9.7148031580e-07    1.8563781505e-07    7.8584250076e-07
4.0875000000e+03     9.7430751827e-07    1.9106192010e-07    7.8324559817e-07
4.1000000000e+03     9.7441890292e-07    1.9647321114e-07    7.7794569178e-07
4.1125000000e+03     9.7164969632e-07    2.0178614233e-07    7.6986355399e-07
4.1250000000e+03     9.6601922869e-07    2.0691692004e-07    7.5910230865e-07
4.1375000000e+03     9.5775684271e-07    2.1178487317e-07    7.4597196954e-07
4.1500000000e+03     9.4730919459e-07    2.1631377024e-07    7.3099542435e-07
4.1625000000e+03     9.3541008936e-07    2.2043306439e-07    7.1497702498e-07
4.1750000000e+03     9.2256520438e-07    2.2407904908e-07    6.9848615530e-07
4.1875000000e+03     9.0996823676e-07    2.2719590740e-07    6.8277232936e-07
4.2000000000e+03     8.9843954418e-07    2.2973663803e-07    6.6870290615e-07
4.2125000000e+03     8.8882918435e-07    2.3166384035e-07    6.5716534400e-07
4.2250000000e+03     8.8184518243e-07    2.3295034101e-07    6.4889484142e-07
